,text,label
0,national women golf team impressive displays all african challenge,0
1,"these actions must , also , seek to enhance the sense of citizenship and active participation of foreign nationals and immigrants , as well as educating them on the values of tolerance and the rejection of all forms of discrimination , racism and hatred .",1
2,"mzbel , in her acceptance speech , said a disabled person , despite his or her disability , was like every human being , even though they may be facing a physical or mental challenge one way or the other .",1
3,"what is the basis for the conflict in our nation ? are we to end up like some of our neighboring countries forever at war , displaced with stagnant economies , tremendous psychological trauma , malnutrition , and rising death tolls ? have you seen how our fellow african refugees are treated ?",1
4,"the mixing of forced and economic migration , the so-called mixed migration flows , represents a tricky policy-issue . many ( economic ) migrants are trying to receive a residence permit in a destination country by filing an ( often hopeless ) asylum application . one consequence is an additional burden for asylum systems in host countries . this study captures the dynamics of mixed migration with the available data and offers policy recommendations to improve mechanisms for handling the phenomenon . click here for a video summarizing the findings . <h> new social europe book",0
5,political figures including president trump 's 2016 opponent hillary clinton have condemned his administration for what they say is a lack of action around reuniting immigrant families .,0
6,"but if the supreme court gives a favorable decision for the president , his immigration program would immediately take effect , changing the lives of eligible filipino families and other immigrants .",1
7,"""it 's unfortunate that de lima chose to ascribe that episode in her life to the """" frailties of a woman . """" that remark , made in a televised interview , does not reflect well on women and their limitless capacity to be strong and responsible in their choices . but now that she has taken the step of admitting a relationship with dayan , perhaps she can take the next step : to help him come out and say his piece .""",1
8,"we currently have 14 mps . our new caucus line up after september will include all our returning mps , as well as chloe swarbrick at number seven and golriz ghahraman at number eight . she will be the first member of parliament in the history of new zealand to have arrived in this country as a refugee . she 's now an international human rights lawyer .",0
9,"adding to aap 's woes , pressure mounted for removal of delhi law minister somnath bharti on wednesday after one of the african women assaulted in a midnight raid in south delhi accused him of having led the group that barged into her house and attacked them .",0
10,""""""" brixton music group recognises that the season is about bringing people together and giving back to those in need , both of which are achieved through music , """" said jamar ' ratigan ' kelly , executive producer at bmg , who hails from the braeton community .""",1
11,"the cbse has taken a few steps to eliminate the segregation . we have decided to replace the word disabled for different . this way , a student wont feel segregated and will learn better . s/he would also integrate better with other students .",1
12,we therefore find much merit in the study 's recommendations that all teachers coming out of teacher-training institutions should complete at least two modules in special education ; every school should be made accessible to students with disabilities ; and that each disabled student should be assisted in acquiring the requisite adaptive technology to aid their educational development .,0
13,"a massive cleanup and awareness drive was conducted jointly by the lwmc and the bahria university , lahore campus in different localities of johar town . the purpose of the drive was to improve state of cleanliness and sensitise poor families to hygienic conditions .",1
14,"they have been the target of decades of state-backed persecution and discrimination in the mainly buddhist country , where many view them as illegal immigrants from bangladesh . ( colombo , sept 30 , 2017 )",0
15,""""""" bruce has done a fantastic job in training youngsters , especially the youngsters that come from the poorest of the poor families , who would never have even had an opportunity to even buy a cricket bat . """"""",1
16,""""""" some come from poor families and then you find swimming in millions and they lose focus , then they fizz out from football altogether , """" he said , making it clear that to have a paul pogba-esque success , one needs to work that much harder and not get influenced easily especially at this age and that too coming from africa .""",1
17,earlier : booral couple john and janice frescura and their daughter robyn are the family at the centre of an apparent murder-suicide that claimed the lives of the two women in booral on thursday morning .,0
18,"the book recounts the stories of five ; nicky , unwillingly penetrated with a bottle ; ne'cole , gang-raped while working the street at 15-years-old ; chelsea , who describes brothel owners as abusive pimps ; lisa , a 50-something street worker using a walking frame , disabled after a life in prostitution ; and sabrinna valisce .",0
19,""""""" the united states respects and admires your nation 's compassionate response to those in need """" .""",1
20,"the paper reported on august 23 , 1948 , that mr gregory was one of 435 immigrants on the strathnaver and was hired by mr c. a. hill of springhill plantation .",0
21,"in a mar 6 report , titled ' bangladesh : wave of violent attacks against hindu minority ' , the amnesty said as many as 40 hindu temples were vandalised in attacks by supporters of an islamic party . several hundred were rendered homeless as shops and houses belonging to the hindu community were burnt down over the past week , it said .",0
22,"a majority of residents of europe 's biggest port have foreign roots , including its outgoing , moroccan-born leader ahmed aboutaleb -- the country 's first immigrant and muslim mayor .",0
23,"""but it is important to note that journalists have not been angels in this confrontation either . established media networks started covering the candidacy of mr trump as entertainment rather than politics , and ended their coverage of the hustings by portraying him as the hopeless candidate , whose chances of being beaten by his opponent hillary clinton were not merely high , but also an astronomical """" 98 per cent """" , as the huffington post predicted on the eve of the ballots without the slightest hint of doubt .""",0
24,"tomorrow morning a group of world vision youth advocates , including a former south sudanese refugee , will hand over 750 letters from young people to immigration minister iain lees-galloway calling for a change in refugee policy to reflect global humanitarian needs .",0
25,"""while the scale of waste is astonishing in the western world , the plight of the poor families in the uk being """" literally """" forced to rely on food banks than those suffering in african villages and refugee camps , is a sad story . but it is a true story .""",1
26,"may you attain nibbana sena , thank you so much for all the good you have done for the disabled",1
27,"bridge2aid is a dental charity that is working towards a world free from dental pain . bridge2aid empowers health workers who are already established and well respected members of rural communities . the ngos provides them with skills , experience and equipment to help those in need .",0
28,"he confirmed the alleged personal vendettas , saying there were instances of malice where neighbours issued false reports of illegal immigrants against legitimate citizens .",0
29,"the survey indicated that females have still not been successful in filling the gap between male and female labour forces and this big gap continued . in 2008 there were 2,108,209 fewer women than men and in 1993 , there were 1,946,502 fewer women than men in the labour force .",0
30,"the ujjwala yojana , conceived two years ago , has ensured record penetration of cleaner cooking gas among poor families , and is widely believed to have paid electoral dividends to the bjp in assembly polls , triggering demand from the oil ministry to expand its scale .",0
31,"""asked why the league had not supported sisulu for deputy president , dlamini simply could not answer . she resorted to terming the question """" unfair """" . but the answer is obvious , and everyone in the room knew it : the league 's concern was not with getting women into top positions , but getting their women into top positions .""",0
32,""""""" a vagrant even told me that he did not want to return to the streets ever again because of my movie . i mean , how much money can you pay to get a homeless person back on the right track ? """"""",1
33,"""mr. wong wai sheung , chairman and chief executive of the group said , """" the group has taken actions to fulfil its corporate social responsibility . we hope to bring warmth and care to those in need by participating in and sponsoring various charity activities . """"""",1
34,six other nominated senators will be nominated to represent the youth and the disabled .,1
35,"some residents accuse officials in kensington and chelsea , one of london 's richest boroughs , of ignoring their safety concerns because the publicly owned tower was home to a largely immigrant and working-class population .",0
36,"betty abah is passionate about this initiative that seeks to protect young , vulnerable children . you could tell from just listening to her and how her face lit up as she dissected each question that was thrown at her .",1
37,"school for the blind , deaf and dumb , isulo , anambra state , which parades a number of beautiful structures , is one of the schools battling with lack of facilities to meet the special educational needs of the children . according to felix nwaochi , president-general of isulo community , the school is seriously in need of water supply as many of the blind students have to fetch water from a stream to survive in the school .",1
38,"a harrowing journey night falls early in this part of morocco now and a cold winter looms , prompting the homeless africans to take their chances before conditions worsen , and amid sometimes harsh treatment by authorities .",1
39,"""yangon , myanmar , september 29 , 2017 -- sanna johnson , irc 's regional director said : """" whether forced to flee to neighbouring bangladesh or stuck in northern myanmar , cut off from essential services and lifesaving aid , rohingya refugees have no safe place to call home . today 's reported drownings are a tragic reminder of this desperation . as the largest health care provider in rakhine state , the irc is deeply alarmed by conditions on both sides of the border and calls for immediate access to reach those communities in need . """"""",1
